Team,Player,Position,Points,Price,GP,Home,Away,Average
Manchester City,Haaland,Forward,78,18180000,6,3,3,13.0
Chelsea,Moisés Caicedo,Midfielder,54,12740000,6,3,3,9.0
AFC Bournemouth,Semenyo,Forward,50,8880000,6,3,3,8.33
Chelsea,Chalobah,Defender,49,8810000,6,3,3,8.17
Everton,Grealish,Forward,48,11280000,6,3,3,8.0
Burnley,Jaidon Anthony,Forward,46,4060000,6,3,3,7.67
Tottenham,Palhinha,Midfielder,45,6220000,6,3,3,7.5
Brentford FC,Igor Thiago,Forward,45,4290000,6,3,3,7.5
Sunderland,Omar Alderete,Defender,44,4000000,6,3,3,7.33
Liverpool,Gravenberch,Midfielder,43,7470000,5,2,3,8.6
Arsenal,Timber,Defender,43,6130000,6,3,3,7.17
Crystal Palace,Marc Guehi,Defender,43,5870000,6,3,3,7.17
Manchester United,Bruno Fernandes,Midfielder,42,13650000,6,3,3,7.0
Chelsea,Enzo Fernández,Midfielder,42,10700000,6,3,3,7.0
Liverpool,Van Dijk,Defender,42,10070000,6,3,3,7.0
Arsenal,Zubimendi,Midfielder,42,8840000,6,3,3,7.0
Sunderland,Xhaka,Midfielder,42,5930000,6,3,3,7.0
Liverpool,Hugo Ekitiké,Forward,41,10350000,5,3,2,8.2
Arsenal,Magalhães,Defender,41,6760000,6,3,3,6.83
Chelsea,João Pedro,Forward,40,12600000,6,3,3,6.67
West Ham United,Bowen,Forward,40,7400000,6,3,3,6.67
Tottenham,Richarlison,Forward,40,7350000,6,3,3,6.67
Liverpool,Cody Gakpo,Forward,39,10520000,6,3,3,6.5
Everton,Dewsbury-Hall,Midfielder,39,7030000,6,3,3,6.5
Tottenham,Vicario,Goalkeeper,39,6370000,6,3,3,6.5
AFC Bournemouth,Senesi,Defender,38,5000000,6,3,3,6.33
Everton,Garner,Midfielder,38,4820000,6,3,3,6.33
Burnley,Josh Cullen,Midfielder,38,3430000,6,3,3,6.33
Arsenal,Rice,Midfielder,37,9860000,6,3,3,6.17
Manchester City,Jérémy Doku,Forward,37,6030000,6,3,3,6.17
Fulham,Joachim Andersen,Defender,37,5370000,6,3,3,6.17
Sunderland,Wilson Isidor,Forward,37,3750000,6,3,3,6.17
Tottenham,Cristian Romero,Defender,36,6970000,6,3,3,6.0
Crystal Palace,Ismaïla Sarr,Forward,36,4480000,4,2,2,9.0
Sunderland,Robin Roefs,Goalkeeper,36,3070000,6,3,3,6.0
Nottingham Forest,Elliot Anderson,Midfielder,35,5930000,6,3,3,5.83
Newcastle,Pope,Goalkeeper,35,4700000,6,3,3,5.83
Crystal Palace,Chris Richards,Defender,35,4400000,6,3,3,5.83
West Ham United,Lucas Paquetá,Midfielder,34,6970000,6,3,3,5.67
Fulham,Iwobi,Forward,34,5480000,6,3,3,5.67
Everton,Pickford,Goalkeeper,34,5180000,6,3,3,5.67
Manchester City,Reijnders,Midfielder,33,9160000,6,3,3,5.5
Tottenham,Kudus,Forward,33,6400000,6,3,3,5.5
Arsenal,Calafiori,Defender,33,5910000,6,3,3,5.5
Crystal Palace,Maxence Lacroix,Defender,33,5130000,6,3,3,5.5
Fulham,Leno,Goalkeeper,33,5070000,6,3,3,5.5
Crystal Palace,Henderson,Goalkeeper,33,4510000,6,3,3,5.5
Tottenham,Van de Ven,Defender,33,4090000,6,3,3,5.5
Everton,Gueye,Midfielder,33,3890000,6,3,3,5.5
Brighton & Hove Albion,Van Hecke,Defender,33,3400000,6,3,3,5.5
Brighton & Hove Albion,Yankuba Minteh,Forward,33,3300000,6,3,3,5.5
Liverpool,Szoboszlai,Midfielder,32,7970000,6,3,3,5.33
Newcastle,Tonali,Midfielder,32,6620000,6,3,3,5.33
Tottenham,Brennan Johnson,Forward,32,5520000,6,3,3,5.33
Everton,Tarkowski,Defender,32,5470000,6,3,3,5.33
Fulham,Kenny Tete,Defender,32,4860000,5,3,2,6.4
Aston Villa,Matty Cash,Defender,32,3150000,6,3,3,5.33
Everton,Iliman Ndiaye,Forward,31,5380000,6,3,3,5.17
AFC Bournemouth,Alex Scott,Midfielder,31,3370000,6,3,3,5.17
Fulham,Harry Wilson,Midfielder,31,3280000,6,3,3,5.17
Crystal Palace,Mitchell,Defender,31,3200000,6,3,3,5.17
Leeds United,Longstaff,Midfielder,31,1960000,6,3,3,5.17
