Team,Player,Position,Points,Price,GP,Home,Away,Average
Liverpool,Salah,Forward,0,16890000,0,0,0,0.0
Chelsea,Cole Palmer,Midfielder,0,16150000,0,0,0,0.0
Liverpool,Florian Wirtz,Midfielder,0,15000000,0,0,0,0.0
Manchester City,Haaland,Forward,0,14520000,0,0,0,0.0
Manchester United,Bruno Fernandes,Midfielder,0,14000000,0,0,0,0.0
Brentford FC,Mbeumo,Forward,0,13530000,0,0,0,0.0
Newcastle,Isak,Forward,0,13310000,0,0,0,0.0
Arsenal,Rice,Midfielder,0,13080000,0,0,0,0.0
Chelsea,Enzo Fernández,Midfielder,0,11780000,0,0,0,0.0
Arsenal,Bukayo Saka,Forward,0,11450000,0,0,0,0.0
Manchester United,Matheus Cunha,Forward,0,11350000,0,0,0,0.0
Newcastle,Guimarães,Midfielder,0,11130000,0,0,0,0.0
Liverpool,Mac Allister,Midfielder,0,10680000,0,0,0,0.0
Chelsea,Moisés Caicedo,Midfielder,0,10530000,0,0,0,0.0
Aston Villa,Tielemans,Midfielder,0,9990000,0,0,0,0.0
Liverpool,Luis Díaz,Forward,0,9630000,0,0,0,0.0
Arsenal,Ødegaard,Midfielder,0,9290000,0,0,0,0.0
Crystal Palace,Eberechi Eze,Forward,0,9180000,0,0,0,0.0
Brentford FC,Yoane Wissa,Forward,0,9090000,0,0,0,0.0
West Ham United,Bowen,Forward,0,8970000,0,0,0,0.0
Manchester City,Foden,Midfielder,0,8500000,0,0,0,0.0
Arsenal,Zubimendi,Midfielder,0,8480000,0,0,0,0.0
Tottenham,Heung-Min Son,Forward,0,8380000,0,0,0,0.0
Manchester City,Gvardiol,Defender,0,8320000,0,0,0,0.0
Fulham,Iwobi,Forward,0,8080000,0,0,0,0.0
Aston Villa,Watkins,Forward,0,8030000,0,0,0,0.0
AFC Bournemouth,Semenyo,Forward,0,7910000,0,0,0,0.0
Tottenham,Maddison,Midfielder,0,7880000,0,0,0,0.0
Liverpool,Cody Gakpo,Forward,0,7850000,0,0,0,0.0
Liverpool,Szoboszlai,Midfielder,0,7840000,0,0,0,0.0
Newcastle,Tonali,Midfielder,0,7690000,0,0,0,0.0
Nottingham Forest,Gibbs-White,Midfielder,0,7460000,0,0,0,0.0
Manchester City,Bernardo Silva,Midfielder,0,7220000,0,0,0,0.0
Liverpool,Gravenberch,Midfielder,0,7130000,0,0,0,0.0
Liverpool,Van Dijk,Defender,0,6780000,0,0,0,0.0
Manchester City,Rodrigo,Midfielder,0,6770000,0,0,0,0.0
Manchester City,Omar Marmoush,Forward,0,6650000,0,0,0,0.0
Manchester City,Aït Nouri,Midfielder,0,6530000,0,0,0,0.0
Newcastle,Anthony Gordon,Forward,0,6420000,0,0,0,0.0
Manchester City,Reijnders,Midfielder,0,6170000,0,0,0,0.0
Arsenal,Saliba,Defender,0,6140000,0,0,0,0.0
Liverpool,Frimpong,Defender,0,6130000,0,0,0,0.0
Arsenal,Trossard,Forward,0,6100000,0,0,0,0.0
AFC Bournemouth,Justin Kluivert,Forward,0,6050000,0,0,0,0.0
Chelsea,João Pedro,Forward,0,5980000,0,0,0,0.0
Arsenal,Martinelli,Forward,0,5970000,0,0,0,0.0
Manchester City,Rayan Cherki,Forward,0,5900000,0,0,0,0.0
Arsenal,Merino,Midfielder,0,5890000,0,0,0,0.0
Newcastle,Elanga,Forward,0,5890000,0,0,0,0.0
Brentford FC,Damsgaard,Midfielder,0,5870000,0,0,0,0.0
Aston Villa,Rogers,Forward,0,5710000,0,0,0,0.0
Chelsea,Jamie Gittens,Forward,0,5700000,0,0,0,0.0
Chelsea,Estêvão,Forward,0,5610000,0,0,0,0.0
Everton,Pickford,Goalkeeper,0,5550000,0,0,0,0.0
Manchester City,Jérémy Doku,Forward,0,5540000,0,0,0,0.0
Nottingham Forest,Milenkovic,Defender,0,5490000,0,0,0,0.0
Tottenham,Brennan Johnson,Forward,0,5470000,0,0,0,0.0
Manchester United,Amad Diallo,Forward,0,5350000,0,0,0,0.0
Chelsea,Pedro Neto,Forward,0,5330000,0,0,0,0.0
Crystal Palace,Daniel Muñoz,Defender,0,5330000,0,0,0,0.0
Manchester City,Sávio,Forward,0,5320000,0,0,0,0.0
Crystal Palace,Mateta,Forward,0,5250000,0,0,0,0.0
Nottingham Forest,Wood,Forward,0,5210000,0,0,0,0.0
