Team,Player,Position,Points,Price,GP,Home,Away,Average
Arsenal,Magalhães,Defender,0,5140000,0,0,0,0.0
Liverpool,Kerkez,Defender,0,5140000,0,0,0,0.0
Arsenal,Kai Havertz,Forward,0,5080000,0,0,0,0.0
Arsenal,David Raya,Goalkeeper,0,4980000,0,0,0,0.0
Chelsea,Cucurella,Defender,0,4910000,0,0,0,0.0
Manchester City,Kovacic,Midfielder,0,4900000,0,0,0,0.0
Brighton & Hove Albion,Mitoma,Forward,0,4900000,0,0,0,0.0
West Ham United,Soucek,Midfielder,0,4890000,0,0,0,0.0
Tottenham,Kudus,Forward,0,4830000,0,0,0,0.0
Newcastle,Jacob Murphy,Forward,0,4730000,0,0,0,0.0
Fulham,Antonee Robinson,Defender,0,4720000,0,0,0,0.0
AFC Bournemouth,Evanilson,Forward,0,4710000,0,0,0,0.0
Tottenham,Pedro Porro,Defender,0,4610000,0,0,0,0.0
Crystal Palace,Marc Guehi,Defender,0,4580000,0,0,0,0.0
Chelsea,Madueke,Forward,0,4550000,0,0,0,0.0
West Ham United,Wan-Bissaka,Defender,0,4520000,0,0,0,0.0
Everton,Iliman Ndiaye,Forward,0,4520000,0,0,0,0.0
Arsenal,Nørgaard,Midfielder,0,4500000,0,0,0,0.0
Manchester United,Antony,Forward,0,4470000,0,0,0,0.0
Nottingham Forest,Elliot Anderson,Midfielder,0,4460000,0,0,0,0.0
West Ham United,Lucas Paquetá,Midfielder,0,4370000,0,0,0,0.0
Everton,Thierno Barry,Forward,0,4360000,0,0,0,0.0
Aston Villa,John McGinn,Midfielder,0,4350000,0,0,0,0.0
Nottingham Forest,Murillo,Defender,0,4320000,0,0,0,0.0
Crystal Palace,Ismaïla Sarr,Forward,0,4300000,0,0,0,0.0
Brighton & Hove Albion,Baleba,Midfielder,0,4250000,0,0,0,0.0
Fulham,Raúl Jiménez,Forward,0,4200000,0,0,0,0.0
Nottingham Forest,Hudson-Odoi,Forward,0,4190000,0,0,0,0.0
Newcastle,Joelinton,Midfielder,0,4160000,0,0,0,0.0
Liverpool,Konaté,Defender,0,4140000,0,0,0,0.0
Chelsea,Nicolas Jackson,Forward,0,4110000,0,0,0,0.0
Brentford FC,Collins,Defender,0,4100000,0,0,0,0.0
Everton,Tarkowski,Defender,0,4090000,0,0,0,0.0
Newcastle,Harvey Barnes,Forward,0,4060000,0,0,0,0.0
Tottenham,Solanke,Forward,0,4050000,0,0,0,0.0
Chelsea,Andrey Santos,Midfielder,0,4040000,0,0,0,0.0
Manchester United,Rashford,Forward,0,3930000,0,0,0,0.0
Aston Villa,Emiliano Martínez,Goalkeeper,0,3930000,0,0,0,0.0
Liverpool,Alisson,Goalkeeper,0,3880000,0,0,0,0.0
Wolverhampton,Larsen,Forward,0,3880000,0,0,0,0.0
Wolverhampton,João Gomes,Midfielder,0,3860000,0,0,0,0.0
Everton,McNeil,Midfielder,0,3830000,0,0,0,0.0
Brentford FC,Schade,Forward,0,3830000,0,0,0,0.0
Tottenham,Vicario,Goalkeeper,0,3830000,0,0,0,0.0
Manchester City,Rúben Dias,Defender,0,3820000,0,0,0,0.0
Chelsea,João Félix,Forward,0,3820000,0,0,0,0.0
Everton,Gueye,Midfielder,0,3800000,0,0,0,0.0
AFC Bournemouth,Tavernier,Midfielder,0,3750000,0,0,0,0.0
AFC Bournemouth,Hamed Traorè,Midfielder,0,3740000,0,0,0,0.0
Crystal Palace,Maxence Lacroix,Defender,0,3710000,0,0,0,0.0
Manchester City,Gündogan,Midfielder,0,3690000,0,0,0,0.0
Fulham,Emile Smith,Midfielder,0,3690000,0,0,0,0.0
Tottenham,Pape Sarr,Midfielder,0,3680000,0,0,0,0.0
AFC Bournemouth,Lewis Cook,Midfielder,0,3650000,0,0,0,0.0
Nottingham Forest,Neco Williams,Defender,0,3650000,0,0,0,0.0
Liverpool,Curtis Jones,Midfielder,0,3650000,0,0,0,0.0
Liverpool,Mamardashvili,Goalkeeper,0,3630000,0,0,0,0.0
Manchester United,Garnacho,Forward,0,3620000,0,0,0,0.0
Arsenal,Timber,Defender,0,3580000,0,0,0,0.0
Nottingham Forest,Sels,Goalkeeper,0,3510000,0,0,0,0.0
Chelsea,Liam Delap,Forward,0,3490000,0,0,0,0.0
Aston Villa,Amadou Onana,Midfielder,0,3480000,0,0,0,0.0
Crystal Palace,Henderson,Goalkeeper,0,3470000,0,0,0,0.0
Nottingham Forest,Igor Jesus,Forward,0,3470000,0,0,0,0.0
Wolverhampton,André,Midfielder,0,3450000,0,0,0,0.0
Manchester City,Ederson,Goalkeeper,0,3410000,0,0,0,0.0
AFC Bournemouth,Ryan Christie,Midfielder,0,3410000,0,0,0,0.0
Newcastle,Schär,Defender,0,3370000,0,0,0,0.0
Manchester United,Mainoo,Midfielder,0,3370000,0,0,0,0.0
Manchester United,Manuel Ugarte,Midfielder,0,3370000,0,0,0,0.0
Manchester United,Mazraoui,Defender,0,3360000,0,0,0,0.0
Tottenham,Cristian Romero,Defender,0,3340000,0,0,0,0.0
Everton,Mykolenko,Defender,0,3310000,0,0,0,0.0
Newcastle,Livramento,Defender,0,3310000,0,0,0,0.0
Fulham,Pereira,Midfielder,0,3270000,0,0,0,0.0
Tottenham,Kulusevski,Forward,0,3230000,0,0,0,0.0
Manchester United,Højlund,Forward,0,3220000,0,0,0,0.0
Tottenham,Bentancur,Midfielder,0,3200000,0,0,0,0.0
Aston Villa,Kamara,Midfielder,0,3200000,0,0,0,0.0
Chelsea,Colwill,Defender,0,3200000,0,0,0,0.0
Manchester United,Casemiro,Midfielder,0,3200000,0,0,0,0.0
AFC Bournemouth,Ouattara,Forward,0,3190000,0,0,0,0.0
Newcastle,Pope,Goalkeeper,0,3180000,0,0,0,0.0
Fulham,Leno,Goalkeeper,0,3130000,0,0,0,0.0
Aston Villa,Konsa,Defender,0,3100000,0,0,0,0.0
Crystal Palace,Mitchell,Defender,0,3100000,0,0,0,0.0
Brighton & Hove Albion,Welbeck,Forward,0,3090000,0,0,0,0.0
Chelsea,Nkunku,Forward,0,3090000,0,0,0,0.0
Brighton & Hove Albion,Verbruggen,Goalkeeper,0,3090000,0,0,0,0.0
Everton,Branthwaite,Defender,0,3070000,0,0,0,0.0
Chelsea,Malo Gusto,Defender,0,3070000,0,0,0,0.0
Manchester United,Diogo Dalot,Defender,0,3060000,0,0,0,0.0
Brighton & Hove Albion,Estupiñán,Defender,0,3030000,0,0,0,0.0
Manchester United,André Onana,Goalkeeper,0,3020000,0,0,0,0.0
Newcastle,Lewis Hall,Defender,0,3000000,0,0,0,0.0
Brighton & Hove Albion,Van Hecke,Defender,0,2980000,0,0,0,0.0
Manchester United,Jadon Sancho,Forward,0,2970000,0,0,0,0.0
Chelsea,Robert Sánchez,Goalkeeper,0,2960000,0,0,0,0.0
Brighton & Hove Albion,De Cuyper,Defender,0,2950000,0,0,0,0.0
Liverpool,Darwin Núñez,Forward,0,2920000,0,0,0,0.0
Manchester United,De Ligt,Defender,0,2920000,0,0,0,0.0
Fulham,Harry Wilson,Midfielder,0,2900000,0,0,0,0.0
Aston Villa,Jacob Ramsey,Midfielder,0,2900000,0,0,0,0.0
Tottenham,Bryan Gil,Midfielder,0,2900000,0,0,0,0.0
Manchester City,Matheus Nunes,Midfielder,0,2890000,0,0,0,0.0
AFC Bournemouth,Zabarnyi,Defender,0,2880000,0,0,0,0.0
Fulham,Sander Berge,Midfielder,0,2870000,0,0,0,0.0
Aston Villa,Donyell Malen,Forward,0,2850000,0,0,0,0.0
AFC Bournemouth,Kroupi,Forward,0,2850000,0,0,0,0.0
Sunderland,Habib Diarra,Midfielder,0,2840000,0,0,0,0.0
Crystal Palace,Jefferson Lerma,Midfielder,0,2830000,0,0,0,0.0
AFC Bournemouth,Tyler Adams,Midfielder,0,2830000,0,0,0,0.0
Brighton & Hove Albion,Boscagli,Defender,0,2830000,0,0,0,0.0
Fulham,Lukic,Midfielder,0,2800000,0,0,0,0.0
Brentford FC,Lewis-Potter,Defender,0,2790000,0,0,0,0.0
Manchester City,Grealish,Forward,0,2770000,0,0,0,0.0
Newcastle,Dan Burn,Defender,0,2760000,0,0,0,0.0
Tottenham,Udogie,Defender,0,2740000,0,0,0,0.0
West Ham United,Kilman,Defender,0,2730000,0,0,0,0.0
Fulham,Joachim Andersen,Defender,0,2730000,0,0,0,0.0
Nottingham Forest,Aina,Defender,0,2720000,0,0,0,0.0
Chelsea,Reece James,Defender,0,2660000,0,0,0,0.0
Liverpool,Robertson,Defender,0,2650000,0,0,0,0.0
Brentford FC,Kelleher,Goalkeeper,0,2650000,0,0,0,0.0
Leeds United,Ao Tanaka,Midfielder,0,2650000,0,0,0,0.0
West Ham United,Aguerd,Defender,0,2640000,0,0,0,0.0
Chelsea,Petrovic,Goalkeeper,0,2630000,0,0,0,0.0
Nottingham Forest,Domínguez,Midfielder,0,2630000,0,0,0,0.0
Crystal Palace,Wharton,Midfielder,0,2630000,0,0,0,0.0
Arsenal,Fábio Vieira,Midfielder,0,2610000,0,0,0,0.0
Aston Villa,Lucas Digne,Defender,0,2600000,0,0,0,0.0
Fulham,Bassey,Defender,0,2600000,0,0,0,0.0
Everton,Garner,Midfielder,0,2590000,0,0,0,0.0
Brighton & Hove Albion,Julio Enciso,Midfielder,0,2590000,0,0,0,0.0
Wolverhampton,Toti Gomes,Defender,0,2580000,0,0,0,0.0
Manchester City,Nico González,Midfielder,0,2560000,0,0,0,0.0
Burnley,Walker,Defender,0,2540000,0,0,0,0.0
Brighton & Hove Albion,Yankuba Minteh,Forward,0,2540000,0,0,0,0.0
Manchester City,Akanji,Defender,0,2520000,0,0,0,0.0
Brighton & Hove Albion,Yasin Ayari,Midfielder,0,2500000,0,0,0,0.0
Brighton & Hove Albion,Georginio Rutter,Forward,0,2490000,0,0,0,0.0
Brentford FC,Janelt,Midfielder,0,2480000,0,0,0,0.0
West Ham United,Edson Álvarez,Midfielder,0,2480000,0,0,0,0.0
Brighton & Hove Albion,Hinshelwood,Midfielder,0,2470000,0,0,0,0.0
Arsenal,Nwaneri,Midfielder,0,2440000,0,0,0,0.0
Aston Villa,Pau Torres,Defender,0,2440000,0,0,0,0.0
Arsenal,Kepa,Goalkeeper,0,2420000,0,0,0,0.0
Brighton & Hove Albion,Mats Wieffer,Midfielder,0,2410000,0,0,0,0.0
Chelsea,Chalobah,Defender,0,2370000,0,0,0,0.0
Aston Villa,Matty Cash,Defender,0,2370000,0,0,0,0.0
Brentford FC,Sepp van den Berg,Defender,0,2370000,0,0,0,0.0
Brighton & Hove Albion,Buonanotte,Midfielder,0,2370000,0,0,0,0.0
Tottenham,Van de Ven,Defender,0,2360000,0,0,0,0.0
Leeds United,Jaka Bijol,Defender,0,2350000,0,0,0,0.0
Nottingham Forest,Yates,Midfielder,0,2330000,0,0,0,0.0
Manchester City,Rico Lewis,Defender,0,2330000,0,0,0,0.0
Manchester United,Maguire,Defender,0,2310000,0,0,0,0.0
Arsenal,Ben White,Defender,0,2310000,0,0,0,0.0
Arsenal,Lewis-Skelly,Defender,0,2260000,0,0,0,0.0
Arsenal,Calafiori,Defender,0,2210000,0,0,0,0.0
Wolverhampton,Bellegarde,Midfielder,0,2180000,0,0,0,0.0
Crystal Palace,Daichi Kamada,Midfielder,0,2170000,0,0,0,0.0
Brighton & Hove Albion,Matt O'Riley,Midfielder,0,2160000,0,0,0,0.0
Newcastle,Trippier,Defender,0,2140000,0,0,0,0.0
Chelsea,Adarabioyo,Defender,0,2130000,0,0,0,0.0
Manchester United,Leny Yoro,Defender,0,2130000,0,0,0,0.0
AFC Bournemouth,Adrien Truffert,Defender,0,2130000,0,0,0,0.0
Leeds United,Daniel James,Forward,0,2100000,0,0,0,0.0
West Ham United,Mavropanos,Defender,0,2090000,0,0,0,0.0
Manchester United,Lisandro Martínez,Defender,0,2090000,0,0,0,0.0
Aston Villa,Ian Maatsen,Defender,0,2090000,0,0,0,0.0
Aston Villa,Dendoncker,Midfielder,0,2070000,0,0,0,0.0
Sunderland,Adingra,Forward,0,2070000,0,0,0,0.0
West Ham United,Todibo,Defender,0,2060000,0,0,0,0.0
Arsenal,Gabriel Jesus,Forward,0,2040000,0,0,0,0.0
Tottenham,Bissouma,Midfielder,0,2040000,0,0,0,0.0
Burnley,Trafford,Goalkeeper,0,2040000,0,0,0,0.0
Liverpool,Harvey Elliott,Midfielder,0,2030000,0,0,0,0.0
Chelsea,Roméo Lavia,Midfielder,0,2020000,0,0,0,0.0
Wolverhampton,Agbadou,Defender,0,2010000,0,0,0,0.0
Burnley,Josh Cullen,Midfielder,0,2000000,0,0,0,0.0
Manchester United,Joshua Zirkzee,Forward,0,2000000,0,0,0,0.0
Wolverhampton,José Sá,Goalkeeper,0,1960000,0,0,0,0.0
Fulham,Rodrigo Muniz,Forward,0,1950000,0,0,0,0.0
Brentford FC,Antoni Milambo,Midfielder,0,1950000,0,0,0,0.0
West Ham United,Emerson,Defender,0,1920000,0,0,0,0.0
West Ham United,Ward-Prowse,Midfielder,0,1910000,0,0,0,0.0
Aston Villa,Leon Bailey,Forward,0,1900000,0,0,0,0.0
Fulham,Kenny Tete,Defender,0,1880000,0,0,0,0.0
Newcastle,Botman,Defender,0,1880000,0,0,0,0.0
Fulham,Adama Traoré,Forward,0,1860000,0,0,0,0.0
AFC Bournemouth,Billing,Midfielder,0,1850000,0,0,0,0.0
Tottenham,Lucas Bergvall,Midfielder,0,1850000,0,0,0,0.0
West Ham United,Areola,Goalkeeper,0,1830000,0,0,0,0.0
Everton,Carlos Alcaraz,Midfielder,0,1830000,0,0,0,0.0
Nottingham Forest,Sangaré,Midfielder,0,1820000,0,0,0,0.0
Nottingham Forest,Danilo,Midfielder,0,1810000,0,0,0,0.0
Fulham,Castagne,Defender,0,1800000,0,0,0,0.0
Manchester City,Stones,Defender,0,1790000,0,0,0,0.0
Burnley,Amdouni,Forward,0,1780000,0,0,0,0.0
Everton,Beto,Forward,0,1780000,0,0,0,0.0
Tottenham,Archie Gray,Defender,0,1780000,0,0,0,0.0
Newcastle,Willock,Midfielder,0,1770000,0,0,0,0.0
Tottenham,Djed Spence,Defender,0,1770000,0,0,0,0.0
Crystal Palace,Chris Richards,Defender,0,1770000,0,0,0,0.0
Brentford FC,Pinnock,Defender,0,1730000,0,0,0,0.0
Manchester United,Mason Mount,Midfielder,0,1720000,0,0,0,0.0
Wolverhampton,Munetsi,Midfielder,0,1720000,0,0,0,0.0
Tottenham,Kevin Danso,Defender,0,1700000,0,0,0,0.0
Manchester City,Máximo Perrone,Midfielder,0,1690000,0,0,0,0.0
Arsenal,Kiwior,Defender,0,1660000,0,0,0,0.0
Leeds United,Joël Piroe,Forward,0,1660000,0,0,0,0.0
Sunderland,Enzo Le Fée,Midfielder,0,1650000,0,0,0,0.0
Burnley,Maxime Estève,Defender,0,1640000,0,0,0,0.0
Tottenham,Luka Vuskovic,Defender,0,1640000,0,0,0,0.0
West Ham United,Füllkrug,Forward,0,1630000,0,0,0,0.0
Crystal Palace,Will Hughes,Midfielder,0,1620000,0,0,0,0.0
AFC Bournemouth,Senesi,Defender,0,1610000,0,0,0,0.0
Chelsea,Wesley Fofana,Defender,0,1600000,0,0,0,0.0
Burnley,Jaidon Anthony,Forward,0,1600000,0,0,0,0.0
Manchester City,Ake,Defender,0,1590000,0,0,0,0.0
Leeds United,Jack Harrison,Forward,0,1550000,0,0,0,0.0
Brentford FC,Kristoffer Ajer,Defender,0,1550000,0,0,0,0.0
Tottenham,Mathys Tel,Forward,0,1550000,0,0,0,0.0
Brighton & Hove Albion,Dunk,Defender,0,1540000,0,0,0,0.0
Tottenham,Richarlison,Forward,0,1540000,0,0,0,0.0
Aston Villa,Barrenechea,Midfielder,0,1540000,0,0,0,0.0
Burnley,Hartman,Defender,0,1530000,0,0,0,0.0
Nottingham Forest,David Carmo,Defender,0,1530000,0,0,0,0.0
Wolverhampton,Hugo Bueno,Defender,0,1520000,0,0,0,0.0
Chelsea,Axel Disasi,Defender,0,1520000,0,0,0,0.0
Chelsea,Sterling,Forward,0,1510000,0,0,0,0.0
Aston Villa,Barkley,Midfielder,0,1510000,0,0,0,0.0
Brighton & Hove Albion,Veltman,Defender,0,1500000,0,0,0,0.0
Wolverhampton,Fábio Silva,Forward,0,1500000,0,0,0,0.0
Tottenham,Solomon,Forward,0,1500000,0,0,0,0.0
Brighton & Hove Albion,Kadıoğlu,Defender,0,1500000,0,0,0,0.0
Everton,Jake O'Brien,Defender,0,1490000,0,0,0,0.0
Liverpool,Bradley,Defender,0,1490000,0,0,0,0.0
Aston Villa,Mings,Defender,0,1480000,0,0,0,0.0
Brentford FC,Jensen,Midfielder,0,1480000,0,0,0,0.0
Wolverhampton,Doherty,Defender,0,1470000,0,0,0,0.0
Wolverhampton,Santiago Bueno,Defender,0,1440000,0,0,0,0.0
Sunderland,Dan Neil,Midfielder,0,1440000,0,0,0,0.0
Leeds United,Gnonto,Forward,0,1430000,0,0,0,0.0
Wolverhampton,Ki-Jana Hoever,Defender,0,1420000,0,0,0,0.0
Wolverhampton,Yerson Mosquera,Defender,0,1420000,0,0,0,0.0
Liverpool,Joe Gomez,Defender,0,1390000,0,0,0,0.0
Brighton & Hove Albion,Abdallah Sima,Forward,0,1390000,0,0,0,0.0
Manchester United,Patrick Dorgu,Defender,0,1390000,0,0,0,0.0
Leeds United,Ampadu,Defender,0,1380000,0,0,0,0.0
Chelsea,Mudryk,Forward,0,1380000,0,0,0,0.0
Nottingham Forest,Jair Cunha,Defender,0,1380000,0,0,0,0.0
Leeds United,Joe Rodon,Defender,0,1370000,0,0,0,0.0
Crystal Palace,Cheick Doucouré,Midfielder,0,1370000,0,0,0,0.0
Liverpool,Tsimikas,Defender,0,1360000,0,0,0,0.0
Nottingham Forest,Jota Silva,Forward,0,1350000,0,0,0,0.0
AFC Bournemouth,Alex Scott,Midfielder,0,1350000,0,0,0,0.0
Leeds United,Gudmundsson,Defender,0,1350000,0,0,0,0.0
Chelsea,Jørgensen,Goalkeeper,0,1340000,0,0,0,0.0
Manchester City,Oscar Bobb,Midfielder,0,1320000,0,0,0,0.0
Brighton & Hove Albion,Stefanos Tzimas,Forward,0,1320000,0,0,0,0.0
Fulham,Issa Diop,Defender,0,1310000,0,0,0,0.0
Aston Villa,Samuel Iling,Forward,0,1310000,0,0,0,0.0
Crystal Palace,Walter Benítez,Goalkeeper,0,1310000,0,0,0,0.0
Sunderland,Trai Hume,Defender,0,1300000,0,0,0,0.0
West Ham United,Guido Rodríguez,Midfielder,0,1290000,0,0,0,0.0
Arsenal,Zinchenko,Defender,0,1280000,0,0,0,0.0
Newcastle,Longstaff,Midfielder,0,1280000,0,0,0,0.0
AFC Bournemouth,Neto,Goalkeeper,0,1270000,0,0,0,0.0
Brentford FC,Igor Thiago,Forward,0,1270000,0,0,0,0.0
Brentford FC,Hickey,Defender,0,1260000,0,0,0,0.0
Sunderland,Patterson,Goalkeeper,0,1260000,0,0,0,0.0
Leeds United,Illan Meslier,Goalkeeper,0,1240000,0,0,0,0.0
Chelsea,Dewsbury-Hall,Midfielder,0,1240000,0,0,0,0.0
Brighton & Hove Albion,Igor,Defender,0,1240000,0,0,0,0.0
Manchester City,Khusanov,Defender,0,1240000,0,0,0,0.0
Chelsea,Kendry Páez,Midfielder,0,1240000,0,0,0,0.0
Tottenham,Ben Davies,Defender,0,1220000,0,0,0,0.0
Leeds United,Struijk,Defender,0,1200000,0,0,0,0.0
Liverpool,Chiesa,Forward,0,1200000,0,0,0,0.0
Burnley,Zian Flemming,Forward,0,1200000,0,0,0,0.0
Brighton & Hove Albion,Diego Coppola,Defender,0,1200000,0,0,0,0.0
Fulham,Sessegnon,Midfielder,0,1180000,0,0,0,0.0
Chelsea,Badiashile,Defender,0,1180000,0,0,0,0.0
Tottenham,Antonín Kinský,Goalkeeper,0,1140000,0,0,0,0.0
Chelsea,Renato Veiga,Midfielder,0,1130000,0,0,0,0.0
Brighton & Hove Albion,Webster,Defender,0,1120000,0,0,0,0.0
Tottenham,Drăgușin,Defender,0,1110000,0,0,0,0.0
Brighton & Hove Albion,Diego Gómez,Midfielder,0,1100000,0,0,0,0.0
Manchester City,Vitor Reis,Defender,0,1090000,0,0,0,0.0
Manchester United,Shaw,Defender,0,1070000,0,0,0,0.0
Manchester City,Echeverri,Midfielder,0,1070000,0,0,0,0.0
Wolverhampton,Rodrigo Gomes,Defender,0,1060000,0,0,0,0.0
Everton,Michael Keane,Defender,0,1040000,0,0,0,0.0
Arsenal,Reiss Nelson,Forward,0,1030000,0,0,0,0.0
Arsenal,Lokonga,Midfielder,0,1020000,0,0,0,0.0
Leeds United,Aaronson,Forward,0,1020000,0,0,0,0.0
Brighton & Hove Albion,Lamptey,Defender,0,1010000,0,0,0,0.0
Nottingham Forest,Lewis O'Brien,Midfielder,0,1010000,0,0,0,0.0
Brighton & Hove Albion,Kjell Scherpen,Goalkeeper,0,1000000,0,0,0,0.0
Nottingham Forest,Morato,Defender,0,1000000,0,0,0,0.0
Brentford FC,Michael Kayode,Defender,0,1000000,0,0,0,0.0
Burnley,Connor Roberts,Defender,0,990000,0,0,0,0.0
AFC Bournemouth,Travers,Goalkeeper,0,990000,0,0,0,0.0
Brighton & Hove Albion,Evan Ferguson,Forward,0,990000,0,0,0,0.0
Wolverhampton,Gonçalo Guedes,Forward,0,990000,0,0,0,0.0
Aston Villa,Álex Moreno,Defender,0,990000,0,0,0,0.0
West Ham United,Crysencio Summerville,Forward,0,980000,0,0,0,0.0
Wolverhampton,Hwang,Forward,0,980000,0,0,0,0.0
Brighton & Hove Albion,Brajan Gruda,Forward,0,980000,0,0,0,0.0
Leeds United,Bogle,Defender,0,970000,0,0,0,0.0
AFC Bournemouth,David Brooks,Midfielder,0,960000,0,0,0,0.0
Brentford FC,Yarmolyuk,Midfielder,0,960000,0,0,0,0.0
Crystal Palace,Nketiah,Forward,0,950000,0,0,0,0.0
Chelsea,Ugochukwu,Midfielder,0,930000,0,0,0,0.0
Liverpool,Woodman,Goalkeeper,0,920000,0,0,0,0.0
Crystal Palace,Borna Sosa,Defender,0,920000,0,0,0,0.0
Manchester City,Stefan Ortega,Goalkeeper,0,910000,0,0,0,0.0
Aston Villa,Emi Buendía,Forward,0,900000,0,0,0,0.0
Sunderland,Mandava,Defender,0,900000,0,0,0,0.0
Chelsea,Chilwell,Defender,0,880000,0,0,0,0.0
Newcastle,Dubravka,Goalkeeper,0,880000,0,0,0,0.0
AFC Bournemouth,Faivre,Midfielder,0,880000,0,0,0,0.0
Chelsea,Mike Penders,Goalkeeper,0,880000,0,0,0,0.0
Leeds United,Sam Greenwood,Forward,0,860000,0,0,0,0.0
Sunderland,Pierre Ekwah,Midfielder,0,860000,0,0,0,0.0
Sunderland,Chemsdine Talbi,Forward,0,860000,0,0,0,0.0
Brentford FC,Rasmussen,Defender,0,850000,0,0,0,0.0
Newcastle,Vlachodimos,Goalkeeper,0,850000,0,0,0,0.0
Sunderland,Dennis Cirkin,Defender,0,850000,0,0,0,0.0
Leeds United,Bornauw,Defender,0,830000,0,0,0,0.0
Tottenham,Alfie Devine,Midfielder,0,820000,0,0,0,0.0
AFC Bournemouth,Mepham,Defender,0,810000,0,0,0,0.0
Aston Villa,Yasin Özcan,Defender,0,810000,0,0,0,0.0
Crystal Palace,Romain Esse,Midfielder,0,800000,0,0,0,0.0
Brentford FC,Rico Henry,Defender,0,790000,0,0,0,0.0
