Team,Player,Position,Points,Price,GP,Home,Away,Average
Brentford FC,Damsgaard,Midfielder,32,3450000,6,3,3,5.33
Tottenham,Pape Sarr,Midfielder,32,3250000,7,4,3,4.57
Manchester City,Nico González,Midfielder,32,3120000,7,4,3,4.57
Brighton & Hove Albion,Verbruggen,Goalkeeper,32,2970000,8,4,4,4.0
Nottingham Forest,Neco Williams,Defender,32,2690000,8,4,4,4.0
Tottenham,Lucas Bergvall,Midfielder,32,2560000,7,4,3,4.57
Fulham,Kenny Tete,Defender,32,2520000,5,3,2,6.4
Manchester City,Oscar Bobb,Midfielder,32,2410000,7,4,3,4.57
Aston Villa,Donyell Malen,Forward,32,1870000,8,4,4,4.0
Brentford FC,Michael Kayode,Defender,32,1720000,8,4,4,4.0
Tottenham,Pedro Porro,Defender,31,5410000,8,4,4,3.88
Arsenal,Merino,Midfielder,31,4890000,7,3,4,4.43
Chelsea,Estêvão,Forward,31,4710000,7,4,3,4.43
Aston Villa,Konsa,Defender,31,3250000,7,4,3,4.43
Brentford FC,Jordan Henderson,Midfielder,31,2920000,8,4,4,3.88
Manchester United,Mason Mount,Midfielder,31,2860000,7,4,3,4.43
AFC Bournemouth,Tyler Adams,Midfielder,31,2510000,8,4,4,3.88
Sunderland,Trai Hume,Defender,31,2020000,8,4,4,3.88
Brentford FC,Yarmolyuk,Midfielder,31,1810000,8,4,4,3.88
AFC Bournemouth,Kroupi,Forward,31,1280000,5,1,4,6.2
Arsenal,Ødegaard,Midfielder,30,6150000,6,3,3,5.0
Leeds United,Noah Okafor,Forward,30,3510000,5,2,3,6.0
Manchester United,Casemiro,Midfielder,30,2900000,7,4,3,4.29
Fulham,Emile Smith,Midfielder,30,2180000,8,4,4,3.75
Brighton & Hove Albion,De Cuyper,Defender,30,2030000,7,3,4,4.29
Liverpool,Salah,Forward,29,13940000,8,4,4,3.63
AFC Bournemouth,Tavernier,Midfielder,29,2840000,8,4,4,3.63
Wolverhampton,André,Midfielder,29,1930000,8,4,4,3.63
Leeds United,Ampadu,Defender,29,1920000,6,3,3,4.83
Liverpool,Chiesa,Forward,29,1690000,6,3,3,4.83
Arsenal,Martinelli,Forward,28,3720000,7,3,4,4.0
AFC Bournemouth,Evanilson,Forward,28,3480000,7,4,3,4.0
Liverpool,Alisson,Goalkeeper,28,2980000,6,3,3,4.67
Wolverhampton,Krejci,Defender,28,2380000,5,2,3,5.6
West Ham United,Kilman,Defender,28,2220000,8,4,4,3.5
Wolverhampton,Agbadou,Defender,28,2150000,7,4,3,4.0
Wolverhampton,Santiago Bueno,Defender,28,1110000,5,2,3,5.6
Brighton & Hove Albion,Brajan Gruda,Forward,28,1070000,7,3,4,4.0
Newcastle,Botman,Defender,27,3700000,6,3,3,4.5
Newcastle,Schär,Defender,27,3450000,4,2,2,6.75
Nottingham Forest,Dan Ndoye,Forward,27,2850000,7,3,4,3.86
Fulham,Sessegnon,Midfielder,27,2320000,7,4,3,3.86
Aston Villa,Mings,Defender,27,2100000,6,3,3,4.5
Brighton & Hove Albion,Georginio Rutter,Forward,27,2020000,7,4,3,3.86
Brentford FC,Collins,Defender,27,1990000,8,4,4,3.38
AFC Bournemouth,David Brooks,Midfielder,27,1950000,7,4,3,3.86
Sunderland,Enzo Le Fée,Midfielder,27,1910000,7,4,3,3.86
Newcastle,Livramento,Defender,27,1880000,6,3,3,4.5
West Ham United,Crysencio Summerville,Forward,27,1770000,6,3,3,4.5
Manchester City,Rodrigo,Midfielder,26,6710000,5,2,3,5.2
Manchester City,Bernardo Silva,Midfielder,26,4840000,8,4,4,3.25
Newcastle,Trippier,Defender,26,3070000,7,4,3,3.71
Crystal Palace,Will Hughes,Midfielder,26,2160000,6,3,3,4.33
Brighton & Hove Albion,Dunk,Defender,26,2150000,8,4,4,3.25
Wolverhampton,Jhon Arias,Forward,26,2050000,8,4,4,3.25
Brentford FC,Schade,Forward,26,2040000,8,4,4,3.25
Manchester United,Patrick Dorgu,Defender,26,1980000,7,3,4,3.71
Sunderland,Noah Sadiki,Midfielder,26,1830000,8,4,4,3.25
Manchester United,Maguire,Defender,26,1150000,7,3,4,3.71
Burnley,Loum Tchaouna,Forward,26,610000,8,4,4,3.25
Arsenal,Gyökeres,Forward,25,9760000,8,4,4,3.13
Burnley,Florentino,Midfielder,25,2580000,5,3,2,5.0
AFC Bournemouth,Adrien Truffert,Defender,25,2560000,8,4,4,3.13
Wolverhampton,João Gomes,Midfielder,25,2320000,8,4,4,3.13
Manchester City,Nico O'Reilly,Midfielder,25,2190000,7,3,4,3.57
AFC Bournemouth,Ryan Christie,Midfielder,25,1510000,6,3,3,4.17
Burnley,Lyle Foster,Forward,25,1290000,7,3,4,3.57
Burnley,Hartman,Defender,25,1290000,8,4,4,3.13
Wolverhampton,Munetsi,Midfielder,25,1260000,8,4,4,3.13
Manchester United,Matheus Cunha,Forward,24,6370000,7,4,3,3.43
Nottingham Forest,Wood,Forward,24,3680000,8,4,4,3.0
Aston Villa,Rogers,Forward,24,3120000,8,4,4,3.0
Chelsea,Adarabioyo,Defender,24,2860000,5,1,4,4.8
Arsenal,Trossard,Forward,24,2660000,6,4,2,4.0
Nottingham Forest,Sels,Goalkeeper,24,2630000,8,4,4,3.0
Newcastle,Jacob Murphy,Forward,24,2470000,7,3,4,3.43
Wolverhampton,Hugo Bueno,Defender,24,1550000,8,4,4,3.0
Manchester United,Manuel Ugarte,Midfielder,24,1410000,7,3,4,3.43
Wolverhampton,Rodrigo Gomes,Defender,24,870000,5,3,2,4.8
Manchester City,Gvardiol,Defender,23,6350000,4,2,2,5.75
Crystal Palace,Yéremy Pino,Forward,23,3690000,6,3,3,3.83
AFC Bournemouth,Justin Kluivert,Forward,23,2910000,7,4,3,3.29
Aston Villa,Emiliano Martínez,Goalkeeper,23,2900000,6,2,4,3.83
Newcastle,Dan Burn,Defender,23,2690000,8,4,4,2.88
Manchester United,Diogo Dalot,Defender,23,1920000,6,3,3,3.83
Wolverhampton,Johnstone,Goalkeeper,23,1320000,4,1,3,5.75
West Ham United,Mavropanos,Defender,23,1160000,6,3,3,3.83
Brighton & Hove Albion,Milner,Midfielder,23,1010000,6,4,2,3.83
Wolverhampton,Hwang,Forward,23,980000,6,3,3,3.83
Everton,Iroegbunam,Midfielder,23,940000,6,3,3,3.83
Brentford FC,Kristoffer Ajer,Defender,23,850000,5,3,2,4.6
Liverpool,Mac Allister,Midfielder,22,6190000,7,4,3,3.14
Newcastle,Joelinton,Midfielder,22,2900000,6,4,2,3.67
AFC Bournemouth,Bafodé Diakité,Defender,22,2830000,7,3,4,3.14
Newcastle,Harvey Barnes,Forward,22,2500000,8,4,4,2.75
West Ham United,Ward-Prowse,Midfielder,22,2150000,5,3,2,4.4
Manchester United,Leny Yoro,Defender,22,1980000,8,4,4,2.75
Fulham,Bassey,Defender,22,1800000,8,4,4,2.75
Crystal Palace,Jefferson Lerma,Midfielder,22,1660000,7,3,4,3.14
Leeds United,Struijk,Defender,22,1270000,8,4,4,2.75
Leeds United,Jack Harrison,Forward,22,620000,7,4,3,3.14
Manchester City,Rayan Cherki,Forward,21,5070000,3,2,1,7.0
Liverpool,Kerkez,Defender,21,3200000,8,4,4,2.63
Newcastle,Elanga,Forward,21,2980000,8,4,4,2.63
Brighton & Hove Albion,Mitoma,Forward,21,2530000,6,3,3,3.5
Aston Villa,Pau Torres,Defender,21,2170000,5,3,2,4.2
Brighton & Hove Albion,Baleba,Midfielder,21,1980000,8,4,4,2.63
Brentford FC,Sepp van den Berg,Defender,21,1610000,8,4,4,2.63
Fulham,Sander Berge,Midfielder,21,1590000,8,4,4,2.63
Tottenham,Mathys Tel,Forward,21,1450000,6,4,2,3.5
Wolverhampton,Bellegarde,Midfielder,21,1270000,7,4,3,3.0
Brighton & Hove Albion,Kadıoğlu,Defender,21,1040000,7,3,4,3.0
Aston Villa,Watkins,Forward,20,4250000,8,4,4,2.5
Manchester City,Sávio,Forward,20,2990000,5,3,2,4.0
West Ham United,Mateus Fernandes,Midfielder,20,2420000,6,3,3,3.33
Arsenal,Madueke,Forward,20,2130000,5,3,2,4.0
West Ham United,El Diouf,Midfielder,20,1750000,8,4,4,2.5
West Ham United,Walker-Peters,Defender,20,1260000,7,4,3,2.86
Sunderland,Geertruida,Defender,20,1200000,5,2,3,4.0
Sunderland,Mayenda,Forward,20,1140000,6,4,2,3.33
Sunderland,Chemsdine Talbi,Forward,20,980000,8,4,4,2.5
West Ham United,Callum Wilson,Forward,20,900000,5,3,2,4.0
AFC Bournemouth,Amine Adli,Forward,20,780000,6,3,3,3.33
AFC Bournemouth,James Hill,Defender,20,680000,7,4,3,2.86
Manchester City,Donnarumma,Goalkeeper,19,4760000,5,3,2,3.8
Chelsea,Robert Sánchez,Goalkeeper,19,3090000,8,4,4,2.38
Newcastle,Malick Thiaw,Defender,19,2080000,5,3,2,3.8
Burnley,Walker,Defender,19,2070000,8,4,4,2.38
Tottenham,Udogie,Defender,19,1540000,5,2,3,3.8
Manchester United,Shaw,Defender,19,1520000,8,4,4,2.38
Brentford FC,Lewis-Potter,Defender,19,1470000,7,3,4,2.71
Manchester City,Trafford,Goalkeeper,19,1380000,3,1,2,6.33
Brighton & Hove Albion,Mats Wieffer,Midfielder,19,1270000,6,3,3,3.17
Chelsea,Acheampong,Defender,19,1020000,4,3,1,4.75
Manchester City,Khusanov,Defender,19,1000000,4,1,3,4.75
Nottingham Forest,Sangaré,Midfielder,19,940000,6,3,3,3.17
Newcastle,Osula,Forward,19,660000,8,4,4,2.38
Liverpool,Florian Wirtz,Midfielder,18,7950000,8,4,4,2.25
Tottenham,Xavi Simons,Midfielder,18,7230000,5,2,3,3.6
Nottingham Forest,Gibbs-White,Midfielder,18,4370000,8,4,4,2.25
Nottingham Forest,Milenkovic,Defender,18,2160000,8,4,4,2.25
Chelsea,Malo Gusto,Defender,18,1710000,7,4,3,2.57
Brentford FC,Ouattara,Forward,18,1600000,7,4,3,2.57
Everton,Jake O'Brien,Defender,18,1470000,8,4,4,2.25
Manchester United,Mazraoui,Defender,18,1440000,3,2,1,6.0
Fulham,Lukic,Midfielder,18,1220000,7,3,4,2.57
Burnley,Maxime Estève,Defender,18,1060000,8,4,4,2.25
Brighton & Hove Albion,Diego Gómez,Midfielder,18,990000,7,4,3,2.57
Nottingham Forest,Morato,Defender,18,960000,5,2,3,3.6
Leeds United,Daniel James,Forward,18,920000,5,2,3,3.6
Crystal Palace,Justin Devenny,Midfielder,18,840000,7,3,4,2.57
Aston Villa,Lamare Bogarde,Midfielder,18,770000,6,3,3,3.0
Tottenham,Odobert,Forward,18,610000,8,4,4,2.25
Newcastle,Lewis Miley,Midfielder,18,540000,6,2,4,3.0
Chelsea,Cole Palmer,Midfielder,17,10840000,3,1,2,5.67
Manchester City,Omar Marmoush,Forward,17,4320000,3,1,2,5.67
Aston Villa,Tielemans,Midfielder,17,4200000,4,2,2,4.25
Arsenal,Mosquera,Defender,17,1530000,5,3,2,3.4
Leeds United,Calvert-Lewin,Forward,17,1510000,6,3,3,2.83
Manchester City,Rico Lewis,Defender,17,1450000,5,3,2,3.4
Manchester United,Bayindir,Goalkeeper,17,1390000,6,3,3,2.83
Chelsea,Andrey Santos,Midfielder,17,1330000,6,3,3,2.83
Burnley,Ekdal,Defender,17,890000,6,3,3,2.83
Brentford FC,Fabio Carvalho,Midfielder,17,870000,5,2,3,3.4
Wolverhampton,Tchatchoua,Defender,17,790000,7,3,4,2.43
Crystal Palace,Nketiah,Forward,17,770000,4,2,2,4.25
Fulham,Raúl Jiménez,Forward,16,1850000,7,4,3,2.29
Arsenal,Lewis-Skelly,Defender,16,1730000,5,3,2,3.2
Leeds United,Darlow,Goalkeeper,16,1550000,5,2,3,3.2
Fulham,Rodrigo Muniz,Forward,16,1200000,5,3,2,3.2
Leeds United,Bogle,Defender,16,1190000,8,4,4,2.0
Chelsea,Jamie Gittens,Forward,16,1150000,6,3,3,2.67
Fulham,Joshua King,Midfielder,16,1080000,8,4,4,2.0
Aston Villa,Evann Guessand,Forward,16,950000,7,3,4,2.29
Fulham,Kevin,Forward,16,920000,5,3,2,3.2
Manchester City,Ake,Defender,16,910000,5,4,1,3.2
Brighton & Hove Albion,Veltman,Defender,16,900000,4,2,2,4.0
Brentford FC,Onyeka,Midfielder,16,550000,5,3,2,3.2
Liverpool,Rio Ngumoha,Forward,16,550000,3,0,3,5.33
Aston Villa,Amadou Onana,Midfielder,15,2080000,4,2,2,3.75
Nottingham Forest,Murillo,Defender,15,1870000,5,3,2,3.0
Tottenham,Djed Spence,Defender,15,1630000,7,4,3,2.14
Sunderland,Mandava,Defender,15,1540000,5,3,2,3.0
Everton,Thierno Barry,Forward,15,1380000,8,4,4,1.88
Manchester United,Mainoo,Midfielder,15,1310000,6,3,3,2.5
Everton,Beto,Forward,15,1250000,8,4,4,1.88
Arsenal,Nwaneri,Midfielder,15,1120000,4,4,0,3.75
Leeds United,Gudmundsson,Defender,15,1110000,8,4,4,1.88
Leeds United,Lukas Nmecha,Forward,15,840000,8,4,4,1.88
Fulham,Adama Traoré,Forward,15,610000,6,2,4,2.5
Fulham,Cairney,Midfielder,15,440000,5,3,2,3.0
Nottingham Forest,Igor Jesus,Forward,14,1200000,7,4,3,2.0
Everton,Carlos Alcaraz,Midfielder,14,1190000,6,2,4,2.33
Sunderland,Adingra,Forward,14,1060000,6,2,4,2.33
Fulham,Castagne,Defender,14,830000,6,2,4,2.33
Nottingham Forest,Hutchinson,Midfielder,14,650000,4,2,2,3.5
Wolverhampton,Fer López,Forward,14,440000,5,3,2,2.8
Burnley,Jacob Larsen,Forward,14,330000,6,2,4,2.33
Manchester United,Senne Lammens,Goalkeeper,13,2760000,2,1,1,6.5
Nottingham Forest,Yates,Midfielder,13,1110000,4,1,3,3.25
Burnley,Hannibal Mejbri,Midfielder,13,920000,7,4,3,1.86
Leeds United,Ao Tanaka,Midfielder,13,910000,6,3,3,2.17
Brentford FC,Hickey,Defender,13,610000,5,4,1,2.6
Liverpool,Frimpong,Defender,12,3430000,4,2,2,3.0
Everton,Mykolenko,Defender,12,1430000,5,2,3,2.4
Nottingham Forest,Zinchenko,Defender,12,1360000,3,2,1,4.0
Manchester City,Stones,Defender,12,1340000,4,1,3,3.0
Newcastle,Lewis Hall,Defender,12,1140000,3,1,2,4.0
Manchester City,Aït Nouri,Midfielder,11,2730000,3,1,2,3.67
Nottingham Forest,Aina,Defender,11,1050000,3,2,1,3.67
Chelsea,Roméo Lavia,Midfielder,11,820000,3,2,1,3.67
Nottingham Forest,McAtee,Midfielder,11,760000,4,2,2,2.75
Leeds United,Gnonto,Forward,11,740000,4,2,2,2.75
Aston Villa,Ian Maatsen,Defender,11,670000,5,2,3,2.2
Wolverhampton,Doherty,Defender,11,640000,4,1,3,2.75
AFC Bournemouth,Álex Jiménez,Defender,11,640000,5,3,2,2.2
West Ham United,Magassa,Midfielder,11,450000,4,2,2,2.75
Burnley,Zian Flemming,Forward,11,340000,5,3,2,2.2
Chelsea,Garnacho,Forward,10,2010000,3,1,2,3.33
Fulham,Antonee Robinson,Defender,10,1120000,3,1,2,3.33
Sunderland,Habib Diarra,Midfielder,10,940000,4,2,2,2.5
Wolverhampton,Wolfe,Defender,10,760000,4,3,1,2.5
Tottenham,Kevin Danso,Defender,10,630000,4,1,3,2.5
Liverpool,Wataru Endo,Midfielder,10,400000,4,2,2,2.5
Newcastle,Anthony Gordon,Forward,9,4220000,5,3,2,1.8
Aston Villa,Harvey Elliott,Midfielder,9,1560000,4,1,3,2.25
West Ham United,Wan-Bissaka,Defender,9,1510000,4,2,2,2.25
Liverpool,Bradley,Defender,9,880000,6,2,4,1.5
Everton,Tyler Dibling,Forward,9,650000,4,2,2,2.25
Brentford FC,Janelt,Midfielder,9,580000,4,2,2,2.25
Aston Villa,Lindelöf,Defender,9,510000,3,2,1,3.0
Leeds United,James Justin,Defender,9,470000,3,2,1,3.0
AFC Bournemouth,Adam Smith,Defender,9,450000,3,1,2,3.0
Fulham,Jorge Cuenca,Defender,9,330000,3,2,1,3.0
Brighton & Hove Albion,Stefanos Tzimas,Forward,9,270000,4,1,3,2.25
AFC Bournemouth,Ben Doak,Forward,9,230000,3,1,2,3.0
Wolverhampton,Larsen,Forward,8,1710000,6,3,3,1.33
West Ham United,Areola,Goalkeeper,8,1280000,4,2,2,2.0
Newcastle,Jacob Ramsey,Midfielder,8,1220000,3,1,2,2.67
Liverpool,Robertson,Defender,8,1170000,3,1,2,2.67
Nottingham Forest,Dilane Bakwa,Forward,8,990000,4,1,3,2.0
Fulham,Chukwueze,Forward,8,960000,2,0,2,4.0
Chelsea,Badiashile,Defender,8,830000,2,2,0,4.0
Chelsea,Jorrel Hato,Defender,8,660000,4,2,2,2.0
Sunderland,Masuaku,Defender,8,450000,3,1,2,2.67
Sunderland,Bertrand Traoré,Forward,8,440000,3,1,2,2.67
Leeds United,Ilia Gruev,Midfielder,8,440000,4,2,2,2.0
Sunderland,Chris Rigg,Midfielder,8,390000,5,3,2,1.6
Burnley,Joe Worrall,Defender,8,250000,4,2,2,2.0
West Ham United,Andy Irving,Midfielder,8,220000,5,2,3,1.6
West Ham United,Freddie Potts,Midfielder,8,200000,3,1,2,2.67
Liverpool,Isak,Forward,7,10370000,4,2,2,1.75
West Ham United,Soucek,Midfielder,7,1820000,5,3,2,1.4
Liverpool,Mamardashvili,Goalkeeper,7,1700000,2,1,1,3.5
Wolverhampton,Arokodare,Forward,7,780000,5,2,3,1.4
Sunderland,Brian Brobbey,Forward,7,620000,3,0,3,2.33
Chelsea,Wesley Fofana,Defender,7,530000,3,0,3,2.33
Burnley,Tuanzebe,Defender,7,430000,2,1,1,3.5
Wolverhampton,Ki-Jana Hoever,Defender,7,420000,3,1,2,2.33
Liverpool,Joe Gomez,Defender,7,410000,2,2,0,3.5
Brentford FC,Rico Henry,Defender,7,400000,6,3,3,1.17
Brighton & Hove Albion,Diego Coppola,Defender,7,400000,3,3,0,2.33
Newcastle,Willock,Midfielder,7,390000,2,1,1,3.5
Burnley,Armando Broja,Forward,7,330000,3,1,2,2.33
AFC Bournemouth,Milosavljevic,Defender,7,270000,2,2,0,3.5
Everton,Merlin Röhl,Midfielder,7,260000,2,1,1,3.5
Chelsea,Tyrique George,Forward,7,190000,3,1,2,2.33
Nottingham Forest,Douglas Luiz,Midfielder,6,2030000,2,1,1,3.0
Chelsea,Liam Delap,Forward,6,1200000,3,2,1,2.0
Arsenal,Ben White,Defender,6,1170000,1,0,1,6.0
Nottingham Forest,Kalimuendo,Forward,6,950000,5,2,3,1.2
Brighton & Hove Albion,Hinshelwood,Midfielder,6,780000,3,1,2,2.0
Burnley,Josh Laurent,Midfielder,6,470000,8,4,4,0.75
Arsenal,Max Dowman,Midfielder,6,370000,2,1,1,3.0
Leeds United,Joël Piroe,Forward,5,910000,4,2,2,1.25
AFC Bournemouth,Lewis Cook,Midfielder,5,880000,2,1,1,2.5
Aston Villa,Barkley,Midfielder,5,520000,2,1,1,2.5
West Ham United,Luis Guilherme,Forward,5,150000,3,2,1,1.67
Crystal Palace,Uche,Midfielder,4,1560000,2,1,1,2.0
Everton,McNeil,Midfielder,4,1370000,2,1,1,2.0
Tottenham,Solanke,Forward,4,1320000,2,1,1,2.0
West Ham United,Todibo,Defender,4,920000,3,2,1,1.33
West Ham United,Hermansen,Goalkeeper,4,710000,4,2,2,1.0
West Ham United,Guido Rodríguez,Midfielder,4,600000,2,1,1,2.0
Chelsea,Jørgensen,Goalkeeper,4,410000,1,0,1,4.0
Manchester United,Joshua Zirkzee,Forward,4,310000,3,1,2,1.33
Crystal Palace,Romain Esse,Midfielder,4,240000,1,1,0,4.0
Burnley,Oliver Sonne,Defender,4,190000,3,1,2,1.33
Crystal Palace,Clyne,Defender,4,170000,1,0,1,4.0
Manchester City,Kovacic,Midfielder,3,1670000,1,1,0,3.0
Arsenal,Kai Havertz,Forward,3,1370000,1,0,1,3.0
Nottingham Forest,Domínguez,Midfielder,3,680000,1,1,0,3.0
Brentford FC,Antoni Milambo,Midfielder,3,530000,1,0,1,3.0
Tottenham,Archie Gray,Defender,3,510000,2,1,1,1.5
Wolverhampton,Yerson Mosquera,Defender,3,370000,3,2,1,1.0
Nottingham Forest,Jair Cunha,Defender,3,260000,1,0,1,3.0
Nottingham Forest,Nicolò Savona,Defender,3,250000,3,1,2,1.0
Newcastle,Lascelles,Defender,3,200000,2,1,1,1.5
Manchester United,Ayden Heaven,Defender,3,170000,1,0,1,3.0
Burnley,Ashley Barnes,Forward,3,150000,1,1,0,3.0
West Ham United,Callum Marshall,Forward,3,150000,2,1,1,1.5
Aston Villa,Jadon Sancho,Forward,2,1300000,1,0,1,2.0
