Team,Player,Position,Points,Price,GP,Home,Away,Average
Manchester City,Haaland,Forward,107,20150000,8,4,4,13.38
AFC Bournemouth,Semenyo,Forward,75,12300000,8,4,4,9.38
Chelsea,Moisés Caicedo,Midfielder,72,13170000,8,4,4,9.0
Everton,Grealish,Forward,61,13800000,7,4,3,8.71
Brentford FC,Igor Thiago,Forward,58,5380000,8,4,4,7.25
Brighton & Hove Albion,Van Hecke,Defender,58,4690000,8,4,4,7.25
Arsenal,Zubimendi,Midfielder,57,9560000,8,4,4,7.13
Crystal Palace,Marc Guehi,Defender,57,7030000,8,4,4,7.13
Arsenal,Timber,Defender,57,6660000,8,4,4,7.13
Manchester United,Bruno Fernandes,Midfielder,56,14730000,8,4,4,7.0
Chelsea,Chalobah,Defender,56,8350000,7,3,4,8.0
Tottenham,Palhinha,Midfielder,56,7800000,8,4,4,7.0
Arsenal,Rice,Midfielder,55,11580000,8,4,4,6.88
Crystal Palace,Daniel Muñoz,Defender,55,6260000,8,4,4,6.88
Liverpool,Cody Gakpo,Forward,54,9600000,8,4,4,6.75
Chelsea,Reece James,Defender,54,4850000,8,4,4,6.75
Arsenal,Magalhães,Defender,53,7990000,8,4,4,6.63
Sunderland,Xhaka,Midfielder,51,6930000,8,4,4,6.38
Liverpool,Van Dijk,Defender,50,10740000,8,4,4,6.25
Liverpool,Gravenberch,Midfielder,50,8520000,7,3,4,7.14
Sunderland,Omar Alderete,Defender,50,4290000,8,4,4,6.25
Chelsea,Pedro Neto,Forward,48,6370000,8,4,4,6.0
Tottenham,Vicario,Goalkeeper,48,5780000,8,4,4,6.0
Burnley,Jaidon Anthony,Forward,48,4480000,8,4,4,6.0
Burnley,Josh Cullen,Midfielder,48,3480000,8,4,4,6.0
Everton,Tarkowski,Defender,47,6730000,8,4,4,5.88
Tottenham,Kudus,Forward,47,6690000,8,4,4,5.88
Everton,Iliman Ndiaye,Forward,47,6530000,8,4,4,5.88
Everton,Garner,Midfielder,47,5390000,8,4,4,5.88
Arsenal,Bukayo Saka,Forward,46,14070000,6,3,3,7.67
West Ham United,Lucas Paquetá,Midfielder,46,7140000,8,4,4,5.75
AFC Bournemouth,Senesi,Defender,46,7040000,8,4,4,5.75
Everton,Pickford,Goalkeeper,46,4960000,8,4,4,5.75
Sunderland,Robin Roefs,Goalkeeper,46,3970000,8,4,4,5.75
Sunderland,Nordi Mukiele,Defender,46,3510000,6,3,3,7.67
Crystal Palace,Chris Richards,Defender,45,5100000,8,4,4,5.63
Chelsea,João Pedro,Forward,44,10750000,8,4,4,5.5
Liverpool,Hugo Ekitiké,Forward,44,8960000,7,4,3,6.29
West Ham United,Bowen,Forward,44,8240000,8,4,4,5.5
Newcastle,Guimarães,Midfielder,44,7300000,7,4,3,6.29
Liverpool,Szoboszlai,Midfielder,44,7200000,8,4,4,5.5
Manchester City,Jérémy Doku,Forward,44,7060000,8,4,4,5.5
Crystal Palace,Mateta,Forward,44,4620000,8,4,4,5.5
Tottenham,Richarlison,Forward,43,5120000,8,4,4,5.38
Crystal Palace,Henderson,Goalkeeper,43,4650000,8,4,4,5.38
Brighton & Hove Albion,Yankuba Minteh,Forward,43,4400000,8,4,4,5.38
Chelsea,Enzo Fernández,Midfielder,42,9670000,7,4,3,6.0
Manchester City,Reijnders,Midfielder,42,7700000,8,4,4,5.25
Crystal Palace,Ismaïla Sarr,Forward,42,6170000,6,3,3,7.0
Nottingham Forest,Elliot Anderson,Midfielder,42,6030000,8,4,4,5.25
Everton,Dewsbury-Hall,Midfielder,42,5710000,7,3,4,6.0
Newcastle,Pope,Goalkeeper,42,5080000,8,4,4,5.25
Fulham,Joachim Andersen,Defender,42,3400000,8,4,4,5.25
Sunderland,Daniel Ballard,Defender,42,2720000,6,3,3,7.0
Aston Villa,Emi Buendía,Forward,42,1430000,7,3,4,6.0
Newcastle,Tonali,Midfielder,41,7770000,8,4,4,5.13
Arsenal,Calafiori,Defender,41,5120000,8,4,4,5.13
Fulham,Iwobi,Forward,41,4480000,8,4,4,5.13
Everton,Gueye,Midfielder,41,4440000,8,4,4,5.13
Tottenham,Van de Ven,Defender,41,4380000,8,4,4,5.13
Manchester United,Mbeumo,Forward,40,7190000,8,4,4,5.0
Chelsea,Cucurella,Defender,40,6630000,8,4,4,5.0
Fulham,Leno,Goalkeeper,40,4120000,8,4,4,5.0
Aston Villa,Kamara,Midfielder,40,3860000,6,3,3,6.67
Sunderland,Wilson Isidor,Forward,40,3500000,8,4,4,5.0
Leeds United,Joe Rodon,Defender,40,2160000,8,4,4,5.0
Newcastle,Nick Woltemade,Forward,39,10340000,5,3,2,7.8
Tottenham,Cristian Romero,Defender,39,5510000,7,3,4,5.57
AFC Bournemouth,Alex Scott,Midfielder,39,3200000,8,4,4,4.88
Burnley,Ugochukwu,Midfielder,39,2020000,7,3,4,5.57
Leeds United,Longstaff,Midfielder,38,2950000,8,4,4,4.75
Aston Villa,Matty Cash,Defender,38,2910000,8,4,4,4.75
Brighton & Hove Albion,Welbeck,Forward,38,2530000,8,4,4,4.75
Everton,Michael Keane,Defender,38,2220000,8,4,4,4.75
Arsenal,Saliba,Defender,37,7060000,7,3,4,5.29
Crystal Palace,Wharton,Midfielder,37,4940000,7,3,4,5.29
Tottenham,Brennan Johnson,Forward,37,3860000,8,4,4,4.63
AFC Bournemouth,Petrovic,Goalkeeper,37,3600000,8,4,4,4.63
Crystal Palace,Mitchell,Defender,37,3030000,8,4,4,4.63
Liverpool,Konaté,Defender,36,4800000,8,4,4,4.5
Crystal Palace,Maxence Lacroix,Defender,36,4520000,8,4,4,4.5
Crystal Palace,Daichi Kamada,Midfielder,36,3960000,6,3,3,6.0
Manchester United,De Ligt,Defender,36,3920000,8,4,4,4.5
Brentford FC,Kelleher,Goalkeeper,36,2990000,8,4,4,4.5
Aston Villa,John McGinn,Midfielder,36,2980000,8,4,4,4.5
Brentford FC,Jensen,Midfielder,36,1310000,6,4,2,6.0
Arsenal,David Raya,Goalkeeper,35,4970000,8,4,4,4.38
Manchester United,Amad Diallo,Forward,35,3590000,7,4,3,5.0
Burnley,Dubravka,Goalkeeper,35,3110000,8,4,4,4.38
Fulham,Harry Wilson,Midfielder,35,2830000,8,4,4,4.38
Manchester City,Rúben Dias,Defender,34,5080000,8,4,4,4.25
Manchester City,Matheus Nunes,Midfielder,34,3650000,6,2,4,5.67
Aston Villa,Lucas Digne,Defender,34,3110000,8,4,4,4.25
Tottenham,Bentancur,Midfielder,34,2690000,7,4,3,4.86
Liverpool,Curtis Jones,Midfielder,34,2520000,7,4,3,4.86
Manchester City,Foden,Midfielder,33,8720000,6,4,2,5.5
Nottingham Forest,Hudson-Odoi,Forward,33,2760000,8,4,4,4.13
Brighton & Hove Albion,Yasin Ayari,Midfielder,33,2660000,8,4,4,4.13
Leeds United,Anton Stach,Midfielder,33,2540000,8,4,4,4.13
Leeds United,Aaronson,Forward,33,1820000,8,4,4,4.13
Arsenal,Eberechi Eze,Forward,32,8360000,7,3,4,4.57
Manchester United,Benjamin Sesko,Forward,32,6270000,8,4,4,4.0
