Team,Player,Position,Points,Price,GP,Home,Away,Average
Manchester City,Haaland,Forward,78,17740000,6,3,3,13.0
Chelsea,Moisés Caicedo,Midfielder,54,12610000,6,3,3,9.0
AFC Bournemouth,Semenyo,Forward,50,8680000,6,3,3,8.33
Chelsea,Chalobah,Defender,49,9050000,6,3,3,8.17
Burnley,Jaidon Anthony,Forward,46,3610000,6,3,3,7.67
Tottenham,Palhinha,Midfielder,45,5790000,6,3,3,7.5
Brentford FC,Igor Thiago,Forward,45,3860000,6,3,3,7.5
Sunderland,Omar Alderete,Defender,44,3700000,6,3,3,7.33
Everton,Grealish,Forward,43,10310000,5,2,3,8.6
Liverpool,Gravenberch,Midfielder,43,6960000,5,2,3,8.6
Crystal Palace,Marc Guehi,Defender,43,5700000,6,3,3,7.17
Manchester United,Bruno Fernandes,Midfielder,42,13670000,6,3,3,7.0
Chelsea,Enzo Fernández,Midfielder,42,10340000,6,3,3,7.0
Liverpool,Van Dijk,Defender,42,9990000,6,3,3,7.0
Sunderland,Xhaka,Midfielder,42,5710000,6,3,3,7.0
Liverpool,Hugo Ekitiké,Forward,41,10490000,5,3,2,8.2
Chelsea,João Pedro,Forward,40,12770000,6,3,3,6.67
Liverpool,Cody Gakpo,Forward,39,10940000,6,3,3,6.5
Tottenham,Richarlison,Forward,39,7560000,6,3,3,6.5
Tottenham,Vicario,Goalkeeper,39,6470000,6,3,3,6.5
Arsenal,Timber,Defender,38,6060000,5,3,2,7.6
AFC Bournemouth,Senesi,Defender,38,4490000,6,3,3,6.33
Burnley,Josh Cullen,Midfielder,38,3380000,6,3,3,6.33
Manchester City,Jérémy Doku,Forward,37,5550000,6,3,3,6.17
Sunderland,Wilson Isidor,Forward,37,3750000,6,3,3,6.17
Arsenal,Zubimendi,Midfielder,36,8640000,5,3,2,7.2
Everton,Dewsbury-Hall,Midfielder,36,6970000,5,2,3,7.2
Tottenham,Cristian Romero,Defender,36,6900000,6,3,3,6.0
Crystal Palace,Ismaïla Sarr,Forward,36,3980000,4,2,2,9.0
Sunderland,Robin Roefs,Goalkeeper,36,3000000,6,3,3,6.0
Nottingham Forest,Elliot Anderson,Midfielder,35,5820000,6,3,3,5.83
Fulham,Joachim Andersen,Defender,35,5190000,5,3,2,7.0
Crystal Palace,Henderson,Goalkeeper,35,4490000,6,3,3,5.83
Crystal Palace,Chris Richards,Defender,35,4240000,6,3,3,5.83
Manchester City,Reijnders,Midfielder,33,9040000,6,3,3,5.5
